benchmark,metric,mode,score,scoreError,scoreUnit,bucketCapacity,n,seed,baseDocs,wordsPerDoc,docs,threshold
bench.ExtendableHashTableBenchmark.getHit,primary,thrpt,51.9100902652579,1.258601031215627,ops/us,24,150000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,async,thrpt,NaN,NaN,---,24,150000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,primary,thrpt,42.86736272770119,2.0583945995467823,ops/us,24,200000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,async,thrpt,NaN,NaN,---,24,200000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,primary,thrpt,48.0347258824921,0.4902531536065466,ops/us,24,250000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,async,thrpt,NaN,NaN,---,24,250000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,primary,thrpt,45.60346124206716,0.6455588219741829,ops/us,24,300000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,async,thrpt,NaN,NaN,---,24,300000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,primary,thrpt,43.28493731605226,0.3880065383749912,ops/us,24,350000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,async,thrpt,NaN,NaN,---,24,350000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.01273126152851091,7.500477673988755e-05,us/op,8,150000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,8,150000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.015058858651651583,0.00016035321832965908,us/op,8,200000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,8,200000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.016666970370830078,0.0001939299883351415,us/op,8,250000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,8,250000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.01608643898356499,7.674724771067866e-05,us/op,8,300000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,8,300000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.016331014757031272,0.00018214986511904096,us/op,8,350000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,8,350000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.01471977482863183,8.010849406536864e-05,us/op,12,150000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,12,150000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.018776449505797717,0.0003867760353972265,us/op,12,200000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,12,200000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.01691339666882678,0.00017057855278825132,us/op,12,250000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,12,250000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.017530426550097882,0.00022739756091404517,us/op,12,300000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,12,300000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.018656767467465675,0.00015551172412126184,us/op,12,350000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,12,350000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.014803510455481573,0.0001216335304702367,us/op,16,150000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,16,150000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.018746620182772518,0.0001875208066125334,us/op,16,200000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,16,200000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.019318650662661814,0.00011206651208018797,us/op,16,250000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,16,250000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.018309095064515047,0.0003796451310958005,us/op,16,300000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,16,300000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.01867967687656565,0.0001212849272971196,us/op,16,350000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,16,350000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.018864587460977796,0.000305162628861303,us/op,24,150000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,24,150000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.022896105843696474,0.00031462691443863894,us/op,24,200000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,24,200000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.019869496473756607,0.00013671647581825694,us/op,24,250000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,24,250000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.021568139576869833,0.00017531662014651225,us/op,24,300000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,24,300000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.023298519572871258,0.0002316198975595996,us/op,24,350000,42,,,,
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,24,350000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,92.75992978293182,2.031377139026913,ops/us,8,150000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,8,150000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,112.04468564736642,3.0015610320503168,ops/us,8,200000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,8,200000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,80.02765300892598,0.8381183056404294,ops/us,8,250000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,8,250000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,79.99812843361421,0.8571482926332191,ops/us,8,300000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,8,300000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,93.02575537517806,0.8135504304242888,ops/us,8,350000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,8,350000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,96.47728186464205,1.2480909910116595,ops/us,12,150000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,12,150000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,73.87945213195579,0.8456373065140858,ops/us,12,200000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,12,200000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,78.34226055889381,0.860089350310115,ops/us,12,250000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,12,250000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,91.8208005972519,0.9790337141121411,ops/us,12,300000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,12,300000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,75.30192704985436,0.7501184477396121,ops/us,12,350000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,12,350000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,96.95544610848947,1.0925032183900183,ops/us,16,150000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,16,150000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,74.84308748581749,0.7240841982813883,ops/us,16,200000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,16,200000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,69.86082373309092,0.6008678071380433,ops/us,16,250000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,16,250000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,89.89850909123066,1.0865814430829186,ops/us,16,300000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,16,300000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,72.97685081176283,0.8782285163622641,ops/us,16,350000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,16,350000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,67.04620475688274,0.3226539246251565,ops/us,24,150000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,24,150000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,51.25152514560461,0.5522788042266863,ops/us,24,200000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,24,200000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,68.53818146957518,0.5850941753407514,ops/us,24,250000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,24,250000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,61.820592458266894,0.5588231321072435,ops/us,24,300000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,24,300000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,thrpt,54.349590457888915,0.5564927864652667,ops/us,24,350000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,thrpt,NaN,NaN,---,24,350000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.010951857819928393,0.0002681453438567502,us/op,8,150000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,8,150000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.00877354948530206,0.00033644121954063994,us/op,8,200000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,8,200000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.012457756444127603,0.0001568814113949201,us/op,8,250000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,8,250000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,primary,avgt,0.012539174863714727,0.0001718516442061495,us/op,8,300000,42,,,,
bench.ExtendableHashTableBenchmark.getMiss,async,avgt,NaN,NaN,---,8,300000,42,,,,
